id,name,lat,lng,price €,bedrooms,beds,person capacity,room type,property type,reviews,star rating,user_id,user reviewed count,picture count,neighborhood,city,house rules,summary,description,space,transit
1002052,PRACHTIG CENTRAAL APP. MET TUIN,52.354857051262385,4.911379453389777,120,1,1,2,Entire home/apt,Apartment,0,,652744,15,15,Oosterparkbuurt,Amsterdam,"Feel at home, but be considerate of neighbours. 
No parties, no smoking and drugs please.","Heerlijk, ruim en creatief ingericht appartement met tuin en nieuwe badkamer aan de Wibautstraat met de tofste clubs (Doka), de mooiste skybar (Canvas), café's (Coffee Bru) en een van de beste restaurants (C) van de stad op nog geen 1 minuut lopen. ","Heerlijk, ruim en creatief ingericht appartement met tuin en nieuwe badkamer aan de Wibautstraat met de tofste clubs (Doka), de mooiste skybar (Canvas), café's (Coffee Bru) en een van de beste restaurants (C) van de stad op nog geen 1 minuut lopen.

* Check out the (other) reviews, they are for this apartment, but somehow not linked to this ad anymore * 

Heerlijk, ruim en creatief ingericht appartement met tuin aan de achterzijde en een bankje aan de voorzijde. Slaapkamer aan de tuin met 2-persoonsbed, nieuwe badkamer en toilet, open keuken met grote eettafel, flatscreen tv en veel (kunst)boeken in de woonkamer.

Het appartement ligt op de begane grond in een rustige straat, vlakbij de Wibautstraat met cocktail club (Doka), de mooiste skybar (Canvas), leukste café's (Ruyschkamer, Bukowski), koffiebarretjes (Coffee Bru) en de beste restaurants (C, Rijsel) van de stad op nog geen 1 minuut lopen. 

Daarnaast ligt het direct aan de metrohalte Wibautstraat waar alle metros stoppen, stoppen bussen en trams vlakbij en ligt het op steenworp afstand van de prachtige Amstel rivier, het mooie Oosterpark en de gezellige pijp en Indische Buurt.

1 min: Metro, Bussen, Trams
5 min : Amstel treinstation
12 min: Centraal Station
17 min: Schiphol airport","* Check out the (other) reviews, they are for this apartment, but somehow not linked to this ad anymore * 

Heerlijk, ruim en creatief ingericht appartement met tuin aan de achterzijde en een bankje aan de voorzijde. Slaapkamer aan de tuin met 2-persoonsbed, nieuwe badkamer en toilet, open keuken met grote eettafel, flatscreen tv en veel (kunst)boeken in de woonkamer.

Het appartement ligt op de begane grond in een rustige straat, vlakbij de Wibautstraat met cocktail club (Doka), de mooiste skybar (Canvas), leukste café's (Ruyschkamer, Bukowski), koffiebarretjes (Coffee Bru) en de beste restaurants (C, Rijsel) van de stad op nog geen 1 minuut lopen. 

Daarnaast ligt het direct aan de metrohalte Wibautstraat waar alle metros stoppen, stoppen bussen en trams vlakbij en ligt het op steenworp afstand van de prachtige Amstel rivier, het mooie Oosterpark en de gezellige pijp en Indische Buurt.","1 min: Metro, Bussen, Trams
5 min : Amstel treinstation
12 min: Centraal Station
17 min: Schiphol airport"
10027669,Cozy Studio in east area near Metro,52.34767816618098,4.915402176934767,85,1,2,3,Entire home/apt,Apartment,6,4.5,33738513,32,6,,Amsterdam,,"I'm renting my studio in Oost area (east). It's approximately 5min walking from Amstel Station, where almost all the buses and metros stops. 
I have a normal bed + mattress plus two air mattress.","I'm renting my studio in Oost area (east). It's approximately 5min walking from Amstel Station, where almost all the buses and metros stops. 
I have a normal bed + mattress plus two air mattress.",,
10028049,Family Home + Loft Near City Centre,52.35755596708374,4.908242905834239,175,2,3,4,Entire home/apt,Apartment,3,5,2556633,4,19,Oosterparkbuurt,Amsterdam,"- No smoking inside, you can smoke outside on the balcony
- No pets
- No partying in the apartment
- Please be respectful to my apartment and the neighbors.","Our modern and renovated 3 floor apartment (1891) is located in a quiet neighborhood in Amsterdam-East near the Amstel. Pubs, restaurants, supermarkets and the Metro stop are all within walking distance. About 8 minutes away from Centre.","Our modern and renovated 3 floor apartment (1891) is located in a quiet neighborhood in Amsterdam-East near the Amstel. Pubs, restaurants, supermarkets and the Metro stop are all within walking distance. About 8 minutes away from Centre.

Our 3 floor apartment (ANNO 1891) is located in a quiet neighborhood in Amsterdam-East, near the river Amstel, within walking distance of Pubs, restaurants, supermarkets and the Metro stop.

You have access to the whole house with kitchen, 2 bedrooms (4 beds), bathroom and the living room. You do not have to share this apartment with others.

You will be greeted at the apartment for a personal welcome and key exchange. I will give you some information about the neighborhood. During your stay I am reachable if there are any questions or issues.

Public transportation is just around the corner. There is a metro-stop (51,53,54) at a two minute walk, which will take you to and from Amsterdam Central in no-time.

In case you travel by car, I advice you to park your car outside the Centre (P+R Bijlmer or Zeeburg), you could easily take the metro or tram to the apartment. 
Parking in the neighborhood is really expensive (€ 5,00 an hour).","Our 3 floor apartment (ANNO 1891) is located in a quiet neighborhood in Amsterdam-East, near the river Amstel, within walking distance of Pubs, restaurants, supermarkets and the Metro stop.

You have access to the whole house with kitchen, 2 bedrooms (4 beds), bathroom and the living room. You do not have to share this apartment with others.","In case you travel by car, I advice you to park your car outside the Centre (P+R Bijlmer or Zeeburg), you could easily take the metro or tram to the apartment. 
Parking in the neighborhood is really expensive (€ 5,00 an hour)."
10052457,Cozy Apartment in City Centre,52.37239249649563,4.897606402064683,129,1,2,4,Entire home/apt,Apartment,19,5,4301272,23,13,De Wallen,Amsterdam,,"Our new apartment is located at the heart of Amsterdam close to Dam square and central station. It's at the first and second floor of the building and has a little garden. It's perfect for a group of friends, a family or two couples!","Our new apartment is located at the heart of Amsterdam close to Dam square and central station. It's at the first and second floor of the building and has a little garden. It's perfect for a group of friends, a family or two couples!

You have access to the whole apartment and the garden!

During your stay you can always call or email me with questions or if you need tips for a good restaurant!

The apartment is close to the subway and Amsterdam central station and almost every tram line.",,The apartment is close to the subway and Amsterdam central station and almost every tram line.
1005695,Beautiful bed+living-room in centre,52.35827346571881,4.908607773100902,94,1,1,2,Private room,Apartment,18,4.5,5530981,21,12,Oosterparkbuurt,Amsterdam,"I guess the rules are obvious, just be nice and friendly :-)",,"Beautiful and very light apartment in centre of Amsterdam. Very close to the Amstel river, Skinny Bridge, and walking distance from the canals, the famous Albert Cuyp market and Rembrandt plein (Rembrandt Square).

You'll have the bedroom and the living room all to yourself. You only share the kitchen and the bathroom with me.

The apartment is very light because it is on the top floor and has not only windows on the front and the back but as well in the roof! 

It's only 25 meters from a tram stop, and 250 meters from metro stop (3 stops from Central Station). 

It is a very nice and cosy place that I think will make you feel home and welcome immediately in Amsterdam! 

I am more than willing to give you ideas for great places to go in Amsterdam, like museums, cute areas and streets to stroll around, nice restaurants, bars and clubs. 

Hope to see you soon!!","Beautiful and very light apartment in centre of Amsterdam. Very close to the Amstel river, Skinny Bridge, and walking distance from the canals, the famous Albert Cuyp market and Rembrandt plein (Rembrandt Square).

You'll have the bedroom and the living room all to yourself. You only share the kitchen and the bathroom with me.

The apartment is very light because it is on the top floor and has not only windows on the front and the back but as well in the roof! 

It's only 25 meters from a tram stop, and 250 meters from metro stop (3 stops from Central Station). 

It is a very nice and cosy place that I think will make you feel home and welcome immediately in Amsterdam! 

I am more than willing to give you ideas for great places to go in Amsterdam, like museums, cute areas and streets to stroll around, nice restaurants, bars and clubs. 

Hope to see you soon!!",
10094347,Spacious Apartment with a Canalview,52.37107221847521,4.898582929554004,199,1,2,3,Entire home/apt,Apartment,7,4.5,3856517,59,15,,Amsterdam,Please be kind towards the neighbors so don't make loud noise after 23:00 in the stairway. No smoking is allowed.,Welcome to my classy design appartment in the city centre of Amsterdam. This spacious loft style appartment is close to all the main attractions and in the middle of the vibrant red light district. You can see the Nieuwmarkt and Waag from your window,"Welcome to my classy design appartment in the city centre of Amsterdam. This spacious loft style appartment is close to all the main attractions and in the middle of the vibrant red light district. You can see the Nieuwmarkt and Waag from your window

This spacious apartment will fulfill to all your needs and wishes. The authentic canal view, the moving kitchen, a great bed and enough space for you to relax and enjoy your Amsterdam stay. The interior has been designed  an award winning designer and the location is just perfect.

From the Apartment it just 5 minutes walking to the famous dam square, 1 minute to the cozy nieuwmarkt and 3 minutes to the bike rental from where you can visit the whole of Amsterdam on bike as the locals do. 

Bars abound in this area as some of the typical Amsterdam entertainment to be found in the red light district and local 'coffee' shops. Theatres, local food shops and beautiful canals. This apartment is located perfectly for an authentic Amsterdam experience.

The whole place is yours!

I am abroad often, but my close friend Alexander will be available to help you out with any questions or wishes you might have

The Nieuwmarkt area is one of the oldest neighborhood of Amsterdam, which by the way, also houses one of the oldest professions around. Great bars Amsterdam bars like the Engelenbewaarder and In't Aepjen. are just hundreds of meters from the apartment as well as many coffee bars and local shops.

Central station is 8 minutes walking and all the main tram lines are around. Bike rental is 3 minutes walking from the appartment","This spacious apartment will fulfill to all your needs and wishes. The authentic canal view, the moving kitchen, a great bed and enough space for you to relax and enjoy your Amsterdam stay. The interior has been designed  an award winning designer and the location is just perfect.

From the Apartment it just 5 minutes walking to the famous dam square, 1 minute to the cozy nieuwmarkt and 3 minutes to the bike rental from where you can visit the whole of Amsterdam on bike as the locals do. 

Bars abound in this area as some of the typical Amsterdam entertainment to be found in the red light district and local 'coffee' shops. Theatres, local food shops and beautiful canals. This apartment is located perfectly for an authentic Amsterdam experience.",Central station is 8 minutes walking and all the main tram lines are around. Bike rental is 3 minutes walking from the appartment
10094980,Wonderful apartment in old centre,52.36934766401474,4.8991940066686706,150,2,3,4,Entire home/apt,Apartment,6,5,4056090,163,28,,Amsterdam,"I would like to give you all the freedom of the world. But since this is not a hotel, but a house in a homey environment there are a few rules which should be obtained.

First of all. Please keep things clean and leave it as you've found it. I have renovated the house myself a few years ago and it is very dear to me. Use it in a responsible and respectful way.

No partying
No excessive drinking
No use or influenze of any hard drugs.

Smoking though is allowed.

Most important::. An older lady - very sweet - is living above. Although the house is well insulated loud music or screaming will be heard by her. So if you think you should categorize yourself as loud people please do not book.

And last but not least: Please keep consideration to the neighbourhood!

Thank you","A spacious ground level apartment on a quiet square in the middle of the dynamic city centre. Perfect for 2, but also for 4 since there is a second bedroom. Huge and luxurious bathroom for Amsterdam standards.
Feeling home will describe most of it!","A spacious ground level apartment on a quiet square in the middle of the dynamic city centre. Perfect for 2, but also for 4 since there is a second bedroom. Huge and luxurious bathroom for Amsterdam standards.
Feeling home will describe most of it!

Late check in fee

If you need to check in to the apartment between 21:00 (9PM) and midnight, this is possible, but there is an additional fee of €25, after midnight that will be €50. Thank you for understanding.","Great apartment, centrally situated in the historic centre, just a 5 minutes walk from Dam Square, in between Nieuwmarkt and Waterlooplein. 

Complete comfort in a newly renovated 60m2 ground floor appartment.
Entrance immediately in the living area including an open kitchen, a master bedroom with direct access to the amazing bathroom. To host more guest there is a small second bedroom. No sharing, it will be all for you!

The bathroom has a very comfortable dual-headed shower and a real jacuzi (bubbles and waterjets). There is immediate access from the central living area but it is also connected to the main bedroom via two sliding doors to create an intimate space.
The main bedroom has a 1m40 width bed (200 long and 80 cm high), with a good and firm mattress and a feather duvet.
The small room has a 2m long adjustable bed which can be set as a single or a double bed.
Kitchen is well equipped. It includes a refrigerator-freezer, an oven/microwave, stove and dishwasher. There is all kind of cookware and kitchen utensils.

Next to the kitchen is a table with 4 chairs. The living is in the front of the house. There is small LCD HD television with DVD-player (and a whole range of movies), a music installation and wireless internet.
The whole apartment has supercomfortable floor heating underneath the solid oak floor. 

Although the apartment is very centrally located (few minutes from waterlooplein. Rembrand House, Red lights, with all the benefits from that (shops, bars, musea), the old church square where it's located is an escape from the crowdy streets around. With on the other side, just 50m (really! Might even be less) away the entrance to the subway (nieuwmarkt).


It's a unique, modern and comfortable apartment on a great central spot, opposite the old Zuiderkerk, the first church build for protestant services in 1614 and according to local legend Rembrandt has painted his masterpiece Night Watch at the church.

The apartment includes also:

- Towels and linnen
- Washer, dryer and Iron utilities
- Coffee, thee and basic spices, herbs and oil

- A printer/copier/scanner.

- Baby cot and children chair available
","CAR and PARKING:
Since it's Amsterdam city centre parking is very difficult and expensive (5 euro an hour). There is nevertheless a parking garages for 25 euro a day nearby (5min walk), Even better is to leave your car outside of town at the P+R transferium Amsterdam Arena (the Ajax Stadium) and take the metro. For only 8 euro a day which includes tickets for 5 people you can leave your car there. The metro will take you there in less than 15 minutes. Safe, not expensive and easy.
Loading and unloading is therefore quite easy since the house is on the end of a no-through road.

PUBLIC TRANSPORT
The entrance to the metro (Nieuwmarkt, exit snoekjessteeg) is only 50 metres from the house. Nearest trams are 5 minutes away in all directions and Central Station is a 15 minute walk.
Travelling from and to Schiphol Airport is easy by taking a train. It will take about an hour from door to door. Taking a taxi is possible too. Prices vary from around 40 to 50 euros (from the airport)."
10095510,Central apartment with garden,52.35890047896578,4.90810274362556,125,1,1,2,Entire home/apt,Apartment,2,,51806249,2,19,Oosterparkbuurt,Amsterdam,"Please treat our home as if it was your own. Keep it clean and whole (goes without saying). Don't smoke inside (garden is fine), and no pets allowed.","Spacious & light apartment in a central spot in Amsterdam. By metro (3 min.) you are at central in less than 10 minutes. The attractive and buzzing ""Pijp"" and the Amstel are within walking distance. The quiet apartment features a garden.","Spacious & light apartment in a central spot in Amsterdam. By metro (3 min.) you are at central in less than 10 minutes. The attractive and buzzing ""Pijp"" and the Amstel are within walking distance. The quiet apartment features a garden.

Beautifully furnished two floor apartment in quit street in city center. Apartment has been brought back into the original style (including original floor and ceilings). The apartment is ideal for a couple who wants to visit Amsterdam in style. Free wifi is available.

Easy to reach with public transportation (6 min on any subway from Central Station) or by car (public parking outside).
The apartment is located close to tourist sites, such as Albert Cuyp Market (10 min walking), Hermitage Museum, Carre Theater (15 min walking).

On ground floor there is the old entrance for the house personnel, it also holds the spacious master bedroom, separate toilet and entrance to the big sunny garden. On the first floor there is the main entrance, a large living room with dining and luxury kitchen including dishwasher, stove, microwave and freezer. The first floor also holds the private bathroom with shower, toilet and sink.

Our whole home (except one room) will be yours, feel free to use what is available, but please replace with the same if you use anything.

You will have the house to yourself. Please treat it with care while we are out.

Weesperzijde is a unique and charismatic neighbourhood in the east of Amsterdam. The Weesperzijde area is a very popular area amongst locals. Located just east of Amstel river, next to the Pijp and the city centre. 

The area is well known for its stunning 19th century homes, true Dutch classics that emanate the essence of the Dutch culture. On the other side of the Weesperzijde, there are a number of houseboats located. This contrast between the water and land living style is one of the things that make this neighbourhood so special to live in.

Weesperzijde is a very safe area, perfect for couples and families. It offers many bars and restaurants in walking distance and there is hardly any traffic. The Albert Cuypmarkt is only 5 minutes away and is Amsterdam's most famous outdoor market. The Metro has various stops in the area.

The appartment is a few minutes walking from 2 metro stations which run from the Central station to Amstel station. Metro's go every few minutes. 

Furthermore, trams 3, 7, and 10 which pass most of the tourist sites are a few minutes walking.","Beautifully furnished two floor apartment in quit street in city center. Apartment has been brought back into the original style (including original floor and ceilings). The apartment is ideal for a couple who wants to visit Amsterdam in style. Free wifi is available.

Easy to reach with public transportation (6 min on any subway from Central Station) or by car (public parking outside).
The apartment is located close to tourist sites, such as Albert Cuyp Market (10 min walking), Hermitage Museum, Carre Theater (15 min walking).

On ground floor there is the old entrance for the house personnel, it also holds the spacious master bedroom, separate toilet and entrance to the big sunny garden. On the first floor there is the main entrance, a large living room with dining and luxury kitchen including dishwasher, stove, microwave and freezer. The first floor also holds the private bathroom with shower, toilet and sink.","The appartment is a few minutes walking from 2 metro stations which run from the Central station to Amstel station. Metro's go every few minutes. 

Furthermore, trams 3, 7, and 10 which pass most of the tourist sites are a few minutes walking."
10096971,Charming appartment along canal,52.361174613244685,4.904314024294774,125,1,1,2,Entire home/apt,Apartment,3,4.5,18583875,8,11,,Amsterdam,,"Unique & charming appartment located along the canal behind the world famous theatre Carre in the city centre. The appartment has a cosy living room with a view on the canal, a beautiful garden and bath room with bath. The bedroom has french doors to the garden. Best place to stay!","Unique & charming appartment located along the canal behind the world famous theatre Carre in the city centre. The appartment has a cosy living room with a view on the canal, a beautiful garden and bath room with bath. The bedroom has french doors to the garden. Best place to stay!",,
10097522,Inner City Treasure,52.37169013500897,4.89787124684002,250,1,2,6,Entire home/apt,Apartment,3,5,34626956,10,7,De Wallen,Amsterdam,"We expect our guests to respect our home like we would respect theirs, basically treat it like your own!
We are flexible as our guests somehow have been good possibly they like the house or perhaps us and therefore we had no issues, the only rule we hold high is that we do not except late night partying with loud music or having people over, guests can smoke inside the house, enjoy their holiday to the fullest but we just ask to consider the kind neighbors after 23:00 
Again
- no extra guests allowed
- speakers turned off after 23:00 please, or decent volume
thats about it guys!","This lovely huge studio of 100m2 is located right in the heart of the city besides New Market and Dam Square. Unique experience quiet home and can not be more central. 

This home is located in a back house, so quiet home, really an unique hideaway w/patio","This lovely huge studio of 100m2 is located right in the heart of the city besides New Market and Dam Square. Unique experience quiet home and can not be more central. 

This home is located in a back house, so quiet home, really an unique hideaway w/patio

Large fully equipped kitchen including juicer and nespresso, huge living area with table and chairs.

Large Livingroom, Lounge Area with Flatscreen HDMI/4 free moviechannels, wifi internet, DVDs, collection of books, lovely decor

Sleeping up to six guests, one double bed and 1 sofa and two possible inflatable airbeds in the xl living room.

Our guests have access to the private court yard, those wo wish to rent a cool local bike can park them safely in front of the doorstep inside the building in the communal hallway.

Proud hosts we are.
Once the holiday reservation is booked we then send a direct email to our new guests with detailed check in instructions to inform them but also to help our guest to familiarize and optionally choose for things such as airport pick up service, possible cheap bike rental or for the spoiled one we even offer lush yet discounted wellness treatments at the most prestigious famous 5 star hotel nearby the apartment. We are there to ensure the best holiday!

Newmarket is a gorgeous historical square with less traffic, weekly markets, and a huge castle also its in the heart of the city. One metrostop from Central
Surrounded by the best bars, restaurant, coffeeshops, shops, taxistand, metrostop, boutiques. 
Dam Square is a 4 minute walk. 
Central station is a 10 minutes walk. 
Red Light District is a 2 minutes walk. 
Its all there

Newmarket Metrostop
Newmarket Taxistand
Trams all stop 4/5 minutes from here at the Dam Square or Central Station. One minute by metro","Large fully equipped kitchen including juicer and nespresso, huge living area with table and chairs.

Large Livingroom, Lounge Area with Flatscreen HDMI/4 free moviechannels, wifi internet, DVDs, collection of books, lovely decor

Sleeping up to six guests, one double bed and 1 sofa and two possible inflatable airbeds in the xl living room.","Newmarket Metrostop
Newmarket Taxistand
Trams all stop 4/5 minutes from here at the Dam Square or Central Station. One minute by metro"
