id,user id,capacity (people),outlaw (capacity)
10027669,33738513,3,no
10028049,2556633,4,no
1002052,652744,2,no
10052457,4301272,4,no
1005695,5530981,2,no
10094347,3856517,3,no
10094980,4056090,4,no
10096971,18583875,2,no
10095510,51806249,2,no
10121696,16207886,4,no
10120059,3899684,4,no
10097522,34626956,6,yes
10104614,3680046,2,no
10170311,12020190,2,no
10181220,23732319,2,no
10131998,22504763,2,no
10221568,52524076,4,no
10237518,40848145,4,no
10238838,52621846,4,no
10243163,7002898,4,no
10251232,877945,4,no
1025838,5647814,2,no
10276464,40764795,2,no
10322678,3854106,2,no
10320950,3518386,6,yes
10323432,1980888,2,no
10335706,23797298,8,yes
10328570,25008098,7,yes
10332771,23666068,2,no
10376744,1266717,2,no
10400021,10844398,4,no
1035528,5700200,2,no
10421852,1266717,4,no
10444017,41069310,2,no
10446576,38928419,4,no
10489627,54072606,1,no
10446937,22504763,4,no
1045038,3117904,2,no
10506043,54168320,2,no
10531541,1464510,2,no
10623108,54829820,2,no
10622705,54827669,2,no
10625704,4321923,4,no
10640924,2028878,4,no
10664946,5649261,2,no
10701389,55288823,4,no
1073117,5346424,4,no
1071414,5893654,3,no
10760112,20654315,2,no
10777594,10970863,2,no
10777711,6406027,2,no
10783469,52798293,3,no
1079499,5937460,2,no
10795955,29254039,4,no
10800247,55895809,2,no
10805235,16562274,3,no
10806420,877945,2,no
10849177,56190762,2,no
10881355,34229263,3,no
10952667,1765426,4,no
10894967,11387533,4,no
10979482,12856622,4,no
11007678,3546451,4,no
1102846,6057160,3,no
11032598,6999042,2,no
11034681,6999042,2,no
11119633,57764929,4,no
11164669,5794799,3,no
11200688,52628715,3,no
11182981,6361514,2,no
11202194,52628715,4,no
11218209,1464510,4,no
11221414,58467931,2,no
11267106,4630778,3,no
11313099,16944484,2,no
11347289,22023969,6,yes
11366315,12528721,2,no
11354028,49467463,2,no
11407158,59883870,3,no
11403250,23979120,3,no
11471439,22011975,4,no
11482308,9905611,2,no
11486018,8899006,2,no
11559431,11701759,2,no
11578645,61208652,2,no
11589690,61296014,2,no
11645626,61756546,7,yes
11655810,10245460,2,no
11659697,61850544,4,no
11667001,788073,4,no
11672179,50106152,4,no
11667092,61936288,4,no
11676865,10245460,2,no
11682547,20395675,4,no
11724781,2077724,3,no
1170370,6407677,2,no
11731509,40771227,4,no
11746787,18714681,4,no
11838383,7002898,4,no
1182656,6469558,2,no
11764972,62619408,2,no
11839201,59307704,2,no
11882378,50904502,2,no
11858306,16455188,2,no
11890386,24162512,4,no
11896800,54827669,2,no
11902622,63485487,9,yes
11907868,3399485,2,no
11913494,6999042,4,no
11923077,25299906,2,no
11935509,41042925,2,no
11957307,63863241,2,no
11975841,6406027,2,no
11966081,63916400,2,no
12013103,64263730,4,no
